Net Metrekare,Brüt Metrekare,Oda Sayısı,Bulunduğu Kat,Eşya Durumu,Binanın Yaşı,Isıtma Tipi,Fiyat,Şehir,Binanın Kat Sayısı,Kullanım Durumu,Fiyat Durumu,Yatırıma Uygunluk,İlan Güncelleme Tarihi,Site İçerisinde,Takas,İlan Oluşturma Tarihi,Türü,Kullanım Durumu,Kategorisi,Krediye Uygunluk,Tapu Durumu,İpotek Durumu,Aidat,İlan Numarası,Banyo Sayısı
196 M2,215 M2,3+1,7.Kat,,4,Kombi Doğalgaz,3.500.000,bayburt,10,Kiracı Oturuyor,Genel Fiyat,,22 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14289460,2 
55 M2,65 M2,1+1,5.Kat,Eşyalı,4,Kombi Doğalgaz,1.000.000,bayburt,5,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,13 Aralık 2023,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14288763,1
270 M2,280 M2,4+1,Villa Tipi,,11-15,Kombi Doğalgaz,4.250.000,bayburt,3,Boş,Genel Fiyat,,12 Aralık 2023,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14286882,2 
90 M2,100 M2,2+1,2.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2.850.000arrow_downward%2,bayburt,4,Kiracı Oturuyor,Genel Fiyat ,,01 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,Arsa Tapulu,,,14267975,1
115 M2,125 M2,3+1,Bahçe Katı,Boş,5-10,Kombi Doğalgaz,1.350.000,bayburt,5,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Bilinmiyor,Kat Mülkiyeti,Yok,100 TL,14248701,1
200 M2,220 M2,5+2,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3.250.000,bayburt,5,Boş,Genel Fiyat,Yatırıma Uygun,13 Aralık 2023,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14237442,3
80 M2,90 M2,2+1,1.Kat,Eşyalı,4,Kombi Doğalgaz,1.600.000,bayburt,4,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14197802,1
299 M2,300 M2,1 Oda,,,21 Ve Üzeri,Kombi Doğalgaz,3.000.000,bayburt,3,Boş,Genel Fiyat ,Bilinmiyor,30 Ekim 2023,Hayır,Yok,,Konut,Boş,Satılık,KREDIYE UYGUN,,,,14186820,Yok
80 M2,95 M2,2+1,2.Kat,Boş,2,Kombi Doğalgaz,1.480.000,bayburt,5,Boş,Genel Fiyat ,Bilinmiyor,26 Ekim 2023,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14163521,1
120 M2,130 M2,3+1,5.Kat,,5-10,Kombi Doğalgaz,1.700.000,bayburt,5,Boş,Genel Fiyat ,Yatırıma Uygun,18 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Bilinmiyor,,,100 TL,14127042,1
60 M2,70 M2,1+1,Düz Giriş (Zemin),,5-10,Kombi Doğalgaz,1.050.000,bayburt,5,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,18 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Bilinmiyor,,,100 TL,14127012,1
85 M2,87 M2,2+1,4.Kat,,21 Ve Üzeri,Kombi Doğalgaz,9.750.000,bayburt,4,Kiracı Oturuyor,Genel Fiyat,,12 Aralık 2023,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,,,,14126648,1 
150 M2,155 M2,3+1,3.Kat,Boş,5-10,Kombi Doğalgaz,2.060.000arrow_downward%4,bayburt,8,Boş,Genel Fiyat ,Yatırıma Uygun,12 Aralık 2023,Evet,,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14109176,2
140 M2,156 M2,3+1,2.Kat,Boş,3,Kombi Doğalgaz,5.950.000,bayburt,4,Boş,Genel Fiyat,Yatırıma Uygun,01 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Bilinmiyor,Bilinmiyor,Yok,,14037363,1
130 M2,140 M2,3+1,3.Kat,Boş,1,Kombi Doğalgaz,2.850.000,bayburt,4,Boş,Genel Fiyat ,,13 Aralık 2023,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,Yok,150 TL,14011031,2
80 M2,97 M2,2+1,2.Kat,Boş,5-10,Kombi Doğalgaz,990.000,bayburt,3,Kiracı Oturuyor,Genel Fiyat ,,12 Aralık 2023,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,13756768,1
125 M2,135 M2,3+1,1.Kat,Boş,0 (Yeni),Yerden Isıtma,1.475.000,bayburt,6,Boş,Genel Fiyat,Yatırıma Uygun,12 Aralık 2023,Hayır,Yok,,Konut,Boş,Satılık,Bilinmiyor,Kat İrtifakı,Yok,,13685442,1
150 M2,160 M2,3+1,7.Kat,,2,Kombi Doğalgaz,2.250.000,bayburt,7,Mülk Sahibi Oturuyor,Genel Fiyat,,16 Ocak 2024,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,13566562,1 
135 M2,139 M2,3+1,2.Kat,Boş,5-10,Doğalgaz Sobalı,1.850.000,bayburt,4,Mülk Sahibi Oturuyor,Genel Fiyat ,Yatırıma Uygun,01 Aralık 2023,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,13523149,1
250 M2,280 M2,4+1,Müstakil,,5-10,Kombi Doğalgaz,3.700.000,bayburt,3,Boş,Genel Fiyat ,,27 Aralık 2023,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,13500545,2
370 M2,390 M2,6+2,5.Kat,,3,Kombi Doğalgaz,5.100.000,bayburt,5,Boş,Genel Fiyat ,,05 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,13343496,4
120 M2,300 M2,2+1,1.Kat,,16-20,Sobalı,650.000,bayburt,1,Boş,Genel Fiyat ,,04 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,13304029,1
230 M2,250 M2,6+1,5.Kat,,0 (Yeni),Yerden Isıtma,2.850.000,bayburt,5,Boş,Genel Fiyat,,30 Ekim 2023,Evet,,,Konut,Boş,Satılık,Krediye Uygun,,,,13303671,4 
130 M2,150 M2,3+1,4.Kat,,0 (Yeni),Yerden Isıtma,1.800.000,bayburt,5,Boş,Genel Fiyat ,,30 Ekim 2023,Evet,,,Konut,Boş,Satılık,Krediye Uygun,,,,13303615,2
200 M2,220 M2,5+2,5.Kat,,0 (Yeni),Kombi Doğalgaz,2.500.000,bayburt,5,Boş,Genel Fiyat ,,16 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,13232322,2
140 M2,150 M2,3+1,Düz Giriş (Zemin),Eşyalı,0 (Yeni),Kombi Doğalgaz,2.500.000,bayburt,4,Boş,Genel Fiyat ,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,5550904,1
132 M2,140 M2,3+1,3.Kat,,21 Ve Üzeri,Kombi Doğalgaz,3.300.000,bilecik,3,Mülk Sahibi Oturuyor,Genel Fiyat,Bilinmiyor,22 Ocak 2024,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Bilinmiyor,,1 TL,14589302,2 
50 M2,55 M2,1+1,4.Kat,,1,Kombi Doğalgaz,1.600.000,bilecik,4,Mülk Sahibi Oturuyor,Genel Fiyat,,20 Ocak 2024,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14581061,1
150 M2,200 M2,3+2,,Boş,21 Ve Üzeri,Sobalı,1.100.000,bilecik,3,Boş,Birim Fiyat,Bilinmiyor,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Bilinmiyor,Müstakil Tapulu,Yok,,14573165,1
100 M2,1.360 M2,2+1,,Boş,4,Sobalı,4.950.000,bilecik,1,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,17 Ocak 2024,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,KREDIYE UYGUN,Müstakil Tapulu,,,14562745,1
120 M2,125 M2,3+1,1.Kat,Boş,16-20,Kombi Doğalgaz,1.650.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,16 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Bilinmiyor,,,100 TL,14556437,1
132 M2,140 M2,3+1,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,3.300.000,bilecik,3,Mülk Sahibi Oturuyor,Genel Fiyat,Bilinmiyor,16 Ocak 2024,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Müstakil Tapulu,,,14546720,2 
80 M2,960 M2,2+1,,Boş,2,Sobalı,1.250.000,bilecik,1,Mülk Sahibi Oturuyor,Birim Fiyat,Yatırıma Uygun,12 Ocak 2024,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,Müstakil Tapulu,Yok,,14535498,1
130 M2,140 M2,3+1,2.Kat,,5-10,Kombi Doğalgaz,2.300.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat,Bilinmiyor,15 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14533550,2 
140 M2,145 M2,3+1,4.Kat,Boş,11-15,Kombi Doğalgaz,1.900.000,bilecik,5,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,16 Ocak 2024,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14529756,1
120 M2,125 M2,2+1,2.Kat,Boş,5-10,Kombi Doğalgaz,2.850.000,bilecik,6,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,14 Ocak 2024,Evet,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14529752,1
150 M2,849 M2,4+1,,Boş,21 Ve Üzeri,Sobalı,1.700.100arrow_downward%8,bilecik,1,Boş,Genel Fiyat,,19 Ocak 2024,Hayır,,,Konut,Boş,Satılık,KREDIYE UYGUN,,,,14513220,1
110 M2,215 M2,6+2,,Boş,21 Ve Üzeri,Kombi Doğalgaz,3.100.000,bilecik,3,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Bilinmiyor,Kat Mülkiyeti,Yok,,14497761,3
225 M2,240 M2,4+2,5.Kat,Boş,4,Kombi Doğalgaz,3.450.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,,,,14497349,2
55 M2,60 M2,1+1,4.Kat,Eşyalı,4,Kombi Doğalgaz,1.825.000,bilecik,6,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Ocak 2024,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14497338,1
150 M2,165 M2,5+1,,,21 Ve Üzeri,Kombi Doğalgaz,1.350.000,bilecik,2,Boş,Genel Fiyat,Bilinmiyor,02 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun Değil,Bilinmiyor,,,14477140,2 
80 M2,100 M2,2+1,3.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1.350.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,30 Aralık 2023,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14469326,1
95 M2,110 M2,2+1,4.Kat,Boş,5-10,Kombi Doğalgaz,1.750.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,29 Aralık 2023,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14462755,2
55 M2,64 M2,1+1,,Eşyalı,0 (Yeni),Sobalı,1.750.000,bilecik,1,Mülk Sahibi Oturuyor,Genel Fiyat,Yatırıma Uygun,27 Aralık 2023,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,KREDIYE UYGUN,Müstakil Tapulu,Yok,,14457305,1
90 M2,290 M2,3+1,,Boş,5-10,Doğalgaz Sobalı,430.000,bilecik,2,Boş,Genel Fiyat,Yatırıma Uygun,02 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun Değil,Müstakil Tapulu,Yok,,14451586,1
135 M2,145 M2,3+1,6.Kat,,0 (Yeni),Kombi Doğalgaz,2.730.000,bilecik,9,Boş,Birim Fiyat ,,14 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14440651,2
110 M2,130 M2,2+1,Düz Giriş (Zemin),,5-10,Kombi Doğalgaz,1.500.000,bilecik,5,Mülk Sahibi Oturuyor,Genel Fiyat,Bilinmiyor,22 Aralık 2023,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Bilinmiyor,,,14438429,1 
75 M2,90 M2,2+1,Düz Giriş (Zemin),Boş,5-10,Kombi Doğalgaz,1.300.000,bilecik,11,Mülk Sahibi Oturuyor,Genel Fiyat ,Yatırıma Uygun,22 Aralık 2023,Evet,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,Müstakil Tapulu,Yok,,14437811,1
125 M2,150 M2,3+1,4.Kat,Boş,5-10,Kombi Doğalgaz,2.130.000,bilecik,6,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,19 Aralık 2023,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14418774,2
135 M2,140 M2,3+1,2.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,2.100.000,bilecik,4,Kiracı Oturuyor,Genel Fiyat,,22 Aralık 2023,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14415834,1 
130 M2,135 M2,3+1,1.Kat,,11-15,Kombi Doğalgaz,1.900.000,bilecik,4,Mülk Sahibi Oturuyor,Genel Fiyat ,,18 Aralık 2023,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14414560,2
160 M2,170 M2,4+1,5.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2.200.000,bilecik,5,Mülk Sahibi Oturuyor,Genel Fiyat,,16 Aralık 2023,Evet,,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,,,150 TL,14407526,2
118 M2,130 M2,3+1,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1.750.000,bilecik,3,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,14 Aralık 2023,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun Değil,,,,14394748,1
170 M2,190 M2,4+1,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3.100.000,bilecik,6,Boş,Genel Fiyat,Bilinmiyor,14 Aralık 2023,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun Değil,Bilinmiyor,,,14394746,2 
160 M2,170 M2,3+1,Çatı Dubleks,,21 Ve Üzeri,Kombi Doğalgaz,2.200.000,bilecik,5,Mülk Sahibi Oturuyor,Genel Fiyat,,09 Aralık 2023,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,,,150 TL,14377011,2 
145 M2,155 M2,3+1,4.Kat,,11-15,Kombi Doğalgaz,2.950.000,bilecik,6,Kiracı Oturuyor,Genel Fiyat ,,01 Ocak 2024,Evet,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14369304,2
140 M2,150 M2,3+1,5.Kat,,11-15,Kombi Doğalgaz,2.250.000,bilecik,6,Kiracı Oturuyor,Genel Fiyat,,07 Aralık 2023,Evet,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14364649,1
140 M2,150 M2,3+1,,Eşyalı,21 Ve Üzeri,Kombi Doğalgaz,3.700.000,bilecik,2,Boş,Genel Fiyat,Bilinmiyor,08 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Bilinmiyor,,,,14357011,1 
135 M2,140 M2,3+1,6.Kat,Boş,5-10,Kombi Doğalgaz,2.150.000,bilecik,7,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,18 Aralık 2023,Evet,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,,,,14355224,1
88 M2,92 M2,2+1,4.Kat,Boş,0 (Yeni),Yerden Isıtma,2.000.000,bilecik,5,Boş,Genel Fiyat ,Bilinmiyor,18 Aralık 2023,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,14355173,1
120 M2,125 M2,3+1,3.Kat,Boş,1,Kombi Doğalgaz,2.200.000arrow_downward%4,bilecik,5,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,18 Aralık 2023,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14355152,1
125 M2,145 M2,3+1,3.Kat,,16-20,Kombi Doğalgaz,1.750.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Bilinmiyor,,,14350963,1
120 M2,130 M2,2+1,1.Kat,,11-15,Kombi Doğalgaz,1.650.000,bilecik,2,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Bilinmiyor,,,14350962,1
130 M2,140 M2,3+1,1.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1.670.000,bilecik,5,Boş,Genel Fiyat,,08 Aralık 2023,Evet,,,Konut,Boş,Satılık,Bilinmiyor,,,,14344396,1 
135 M2,150 M2,3+1,1.Kat,,2,Kombi Doğalgaz,3.450.000,bilecik,5,Boş,Genel Fiyat ,Bilinmiyor,01 Aralık 2023,Hayır,Yok,,Konut,Boş,Satılık,Bilinmiyor,Bilinmiyor,,,14334089,2
100 M2,120 M2,2+1,,,0 (Yeni),Kat Kaloriferi,2.115.000,bilecik,1,Mülk Sahibi Oturuyor,Genel Fiyat ,,20 Ocak 2024,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,,,,14329394,1
120 M2,130 M2,2+1,1.Kat,Boş,11-15,Kombi Doğalgaz,1.650.000,bilecik,2,Mülk Sahibi Oturuyor,Genel Fiyat,Bilinmiyor,29 Kasım 2023,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Müstakil Tapulu,,,14319548,1 
145 M2,155 M2,3+1,2.Kat,,11-15,Kombi Doğalgaz,2.250.000,bilecik,5,Boş,Genel Fiyat ,Bilinmiyor,28 Kasım 2023,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14315453,1
135 M2,140 M2,3+1,3.Kat,,2,Kombi Doğalgaz,2.250.000,bilecik,4,Kiracı Oturuyor,Genel Fiyat ,,26 Kasım 2023,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14306171,2
165 M2,180 M2,4+1,,Boş,5-10,Sobalı,10.000.000,bilecik,2,Boş,Genel Fiyat ,Bilinmiyor,24 Kasım 2023,Hayır,Yok,,Konut,Boş,Satılık,KREDIYE UYGUN,Müstakil Tapulu,,,14295538,2
118 M2,125 M2,3+1,2.Kat,Boş,3,Kombi Doğalgaz,2.350.000,bilecik,5,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun Değil,,,,14268468,1
100 M2,120 M2,2+1,Müstakil,,21 Ve Üzeri,Kombi Doğalgaz,3.750.000,bilecik,3,Kiracı Oturuyor,Genel Fiyat ,,13 Aralık 2023,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14257340,1
145 M2,150 M2,3+1,5.Kat,Boş,16-20,Kombi Doğalgaz,1.495.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,,,,14250347,2
906 M2,950 M2,2+1,,,21 Ve Üzeri,Doğalgaz Sobalı,950.000,bilecik,2,Boş,Genel Fiyat,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Bilinmiyor,Hisseli Tapu,,,14246552,1
95 M2,100 M2,2+1,Kot 1 (-1).Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,700.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,12 Kasım 2023,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14244197,1
125 M2,130 M2,3+1,3.Kat,Boş,16-20,Kombi Doğalgaz,2.200.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat,Bilinmiyor,05 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat İrtifakı,,,14244193,1 
125 M2,145 M2,3+1,5.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1.850.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,10 Kasım 2023,Evet,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14238383,1
120 M2,125 M2,3+1,4.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1.400.000,bilecik,5,Boş,Genel Fiyat ,Bilinmiyor,06 Kasım 2023,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14220237,1
130 M2,150 M2,3+1,4.Kat,Boş,21 Ve Üzeri,Doğalgaz Sobalı,1.700.000,bilecik,4,Boş,Genel Fiyat ,Bilinmiyor,05 Kasım 2023,Hayır,,,Konut,Boş,Satılık,Krediye Uygun Değil,,Yok,,14217050,1
140 M2,160 M2,3+1,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2.550.000,bilecik,9,Boş,Genel Fiyat ,Bilinmiyor,03 Kasım 2023,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14206728,2
130 M2,135 M2,3+1,5.Kat,,16-20,Kombi Doğalgaz,1.550.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,,08 Ocak 2024,Evet,,,Konut,Kiracı Oturuyor,Satılık,Bilinmiyor,,Yok,,14197311,1
115 M2,120 M2,2+1,,,4,Sobalı,1.400.000,bilecik,2,Mülk Sahibi Oturuyor,Genel Fiyat,Bilinmiyor,01 Kasım 2023,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun Değil,Arsa Tapulu,,,14193984,1 
125 M2,135 M2,3+1,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2.150.000,bilecik,6,Boş,Genel Fiyat ,Bilinmiyor,31 Ekim 2023,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14188944,1
120 M2,130 M2,3+1,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1.575.000arrow_downward%7,bilecik,4,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,04 Kasım 2023,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14188938,1
130 M2,140 M2,3+1,2.Kat,Boş,5-10,Kombi Doğalgaz,3.200.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,31 Ekim 2023,Evet,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14188929,1
105 M2,120 M2,3+1,1.Kat,,0 (Yeni),Kombi Doğalgaz,1.840.000,bilecik,6,Boş,Genel Fiyat,Bilinmiyor,09 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14188925,1 
100 M2,110 M2,3+1,1.Kat,,11-15,Kombi Doğalgaz,1.750.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat,Bilinmiyor,31 Ekim 2023,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14188917,1 
80 M2,90 M2,2+0,6.Kat,Boş,5-10,Kombi Doğalgaz,1.320.000,bilecik,6,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,31 Ekim 2023,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14188915,1
85 M2,100 M2,2+1,Düz Giriş (Zemin),,5-10,Kombi Doğalgaz,1.685.000,bilecik,5,Boş,Genel Fiyat,Bilinmiyor,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun Değil,,,,14177930,1 
110 M2,125 M2,3+1,4.Kat,Boş,5-10,Kombi Doğalgaz,2.150.000,bilecik,6,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,17 Ocak 2024,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14177929,1
100 M2,110 M2,2+1,Bahçe Katı,Eşyalı,5-10,Kombi Doğalgaz,1.075.000,bilecik,7,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14177240,1
35 M2,40 M2,Stüdyo,3.Kat,Eşyalı,5-10,Klimalı,799.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14177239,1
125 M2,145 M2,3+1,3.Kat,Boş,16-20,Kombi Doğalgaz,1.750.000,bilecik,5,Kiracı Oturuyor,Genel Fiyat,Bilinmiyor,25 Ekim 2023,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Müstakil Tapulu,,,14161236,1 
100 M2,144 M2,4+1,,Boş,21 Ve Üzeri,Kombi Doğalgaz,1.525.000arrow_downward%2,bilecik,2,Boş,Genel Fiyat ,Bilinmiyor,15 Aralık 2023,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun Değil,Müstakil Tapulu,,,14135563,1
70 M2,400 M2,1+1,,,0 (Yeni),Sobalı,1.300.000,bilecik,2,Boş,Genel Fiyat ,,05 Aralık 2023,Hayır,,,Konut,Boş,Satılık,Krediye Uygun Değil,,,,14123226,1
150 M2,160 M2,3+1,2.Kat,Boş,5-10,Kombi Doğalgaz,2.600.000,bilecik,8,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,05 Aralık 2023,Evet,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14043283,2
110 M2,115 M2,2+1,Kot 2 (-2).Kat,Boş,0 (Yeni),Kombi Doğalgaz,2.100.000,bilecik,5,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,Yok,11 TL,14042993,1
